Brand Code,Brand Name,Pack Size,Price Wise,Proposition
59,Limda,100 G,2,15
60,Max-Factor,75 G,2,5
61,Nishan,100 G,2,15
62,OK-Red,150 G,3,14
63,OK-Pink,150 G,3,14
64,OK-(N/S),150 G,3,14
65,Oasis,100 G,2,5
66,Rexona (N/S),100 G,2,5
67,Rexona,25 G,2,5
68,Ria Floral,100 G,2,15
69,Ria Lime,100 G,2,8
70,Ria (N/S),100 G,2,15
71,Swastik Neem,100 G,2,7
72,Wave,100 G,2,15
73,Kalpa,100 G,2,15
74,Lavender Dew,75 G,1,15
75,Joise,100 G,2,15
76,Moloy Sandal,80 G,2,5
77,Prix,100 G,2,15
78,Cresil,100 G,2,15
79,Soma,75 G,2,15
80,Other Popular Soap,,2,15
81,Chasme,100 G,2,13
82,Bubbles,75 G,2,15
83,Patanwala Ottokhus,100 G,2,15
84,Pandora Glycerine,100 G,2,13
85,Himani Turmeric,75 G,2,15
86,Mysore Jasmine,150 G,1,5
87,Pond's Herbal,75 G,1,7
88,Hallo Glycerine,75 G,2,13
89,Sonali Glycerine,100 G,2,13
90,Santoor (N/S),100 G,2,5
91,Clearasil Daily Wash,75 M,1,5
92,Godrej Marvel (N/S),75 G,1,15
93,Super-Fresh,75 G,1,15
94,Montage,75 G,1,15
95,Palmolive,75 G,2,5
96,Caress,75 G,1,5
97,Sansar,100 G,2,15
98,Aramusk,100 G,1,15
99,Pond's Baby,75 G,1,15
100,Pond's Cold Cream Soap,150 G,1,5
101,Wipro Shikakai (Vita.E),100 G,1,9
102,Fresca,75 G,2,5
103,Oasis,20 G,2,5
104,Fresh,,2,5
105,Saral,100 G,2,15
106,Vigil,75 G,2,15
107,Keshnikar,100 G,2,9
108,Fresca,150 G,2,5
109,Lux International (N/S),75 G,1,5
110,Breeze (N/S),100 G,4,5
111,Nirma Beauty,100 G,4,5
112,Ralak,100 G,3,5
113,Happy,100 G,2,15
114,Lifebuoy,75 G,3,14
115,Lux Beauty,75 G,2,5
116,Pears Oil Clear,100 G,1,15
117,Godrej Shikakai,75 G,1,9
118,Goldmist,75 G,1,15
119,Moti (N/S),75 G,1,5
120,Cinthol Lime,75 G,2,8
121,Ria Lime,75 G,2,8
122,Mysore Sandal Classic,75 G,1,5
123,Swastik Shikakai,75 G,1,9
124,Wipro Shikakai,75 G,1,9
125,Ralak,75 G,3,5
126,Hamam Herbal,20 G,2,7
127,Moloy Sandal,75 G,2,5
128,Lux Beauty,150 G,2,5
129,Moti Sandal,75 G,1,5
130,Pears,50 G,1,13
131,Swastik Neem,75 G,2,7
132,Odeon Beauty,75 G,2,5
133,Aramusk,75 G,1,15
134,Odeon Neem,100 G,2,7
135,Palmolive E.C Pink,75 G,1,5
136,Palmolive E.C Green,75 G,1,5
137,Palmolive E.C White,75 G,1,5
138,Palmolive E.C (N/S),75 G,1,5
139,Nirma Beauty,150 G,4,5
140,Rexona,150 G,2,5
141,Shield,75 G,1,15
142,Godrej Limelite,100 G,2,8
143,Nirmabath,100 G,3,14
144,Lux International White/,75 G,1,5
145,Lux Int.Peach-Dry Skin,75 G,1,5
146,Lux Int.Blue-Oily Skin,75 G,1,5
147,Wipro Baby Soft,75 G,1,12
148,Lux Int.(N/S),75 G,1,5
149,Palmolive BeigeNorm.Skin,100 G,2,5
150,Palmolive GreenOily Skin,100 G,2,5
151,Palmolive Pink Dry Skin,100 G,2,5
152,Palmolive (New-N/S),100 G,2,5
153,Javan Neem,150 G,2,7
154,Nirma Shikakai,100 G,1,9
155,Pond's Baby,85 G,1,15
156,Breeze Sandal,100 G,4,5
157,Nirmabath,150 G,3,14
158,Rin Bath,100 G,2,15
159,Santoor (N/S),150 G,2,5
160,Liril Cologne Lime,75 G,1,8
161,Lifebuoy Plus,100 G,2,6
162,Delux Neem,75 G,1,7
163,Mysore Rose,85 G,1,5
164,Le Sancy (N/S),150 G,1,15
165,Godrej Marvel Lilac,75 G,1,15
166,Godrej Marvel Gold,75 G,1,15
167,Cinthol Cologne Lime,75 G,1,8
168,Moti Khus,75 G,1,5
169,Lifebuoy Plus,150 G,2,6
170,Kutir Special,100 G,2,15
171,Kutir Family,75 G,2,15
172,Fresca Cream,75 G,2,5
173,Fresca Cool,75 G,2,5
174,Ria Almond,100 G,2,15
175,Neem,100 G,2,7
176,Hamam,150 G,2,7
177,Cinthol Sandal,75 G,1,8
178,Santoor,20 G,2,5
179,Le Sancy Pink,150 G,1,15
180,Le Sancy White,150 G,1,15
181,Le Sancy Blue,150 G,1,15
182,Evita With Vitamin E,75 G,1,5
183,Ganga,100 G,2,5
184,Krishna Tulasi,75 G,2,15
185,Santoor+ Promotion,100 G,2,5
186,Deluge Glycerine,85 G,2,13
187,Lifebuoy Personnel,150 G,3,5
188,Other Glycerine Soap,,1,13
189,Clearasil Daily Wash,25 M,1,5
190,Clearasil Daily Wash,50 M,1,5
191,Santoor New Pack,100 G,2,5
192,Vigil (New) Orange,75 G,2,15
193,Vigil (New) Pink,75 G,2,15
194,Palmolive E.C White,150 G,1,5
195,Palmolive E.C Pink,150 G,1,5
196,Palmolive E.C Green,150 G,1,5
197,Protex,75 G,1,6
198,Palmolive Family Beige,100 G,2,5
199,Palmolive Family Green,100 G,2,5
200,Palmolive Family Pink,100 G,2,5
201,Palmolive Family(N/S),100 G,2,5
202,Helene Curtis Perfumed,,1,5
203,Liril Cologne (New),75 G,1,8
204,Liril Lime (New),75 G,1,8
205,Dove,100 G,1,10
206,Breeze Sandal (New),100 G,4,5
207,Lux Int.White-Mild Clsr,75 G,1,5
208,Lux International Pink,75 G,1,5
209,Margo,75 G,1,7
210,Rexona New,150 G,2,5
211,Lifebuoy Liquid,250 M,1,15
212,Liril Deo Prfm A.S.Gel,150 M,1,8
213,Lux Int. Beauty Shower,150 G,1,5
214,Lux Int. Beauty Shower,50 G,1,5
215,Premium Luxury Perfumed,100 G,1,15
216,FA Fresh Gntl.Lgt.Due,85 G,1,8
217,FA Fresh Beauty Rose,85 G,1,8
218,Liril Deo Prf Active,75 G,1,8
219,Lux Beauty,50 G,2,5
220,Lux Int.Pink-Moisturiser,150 G,1,5
221,Cinthol Cologne White,75 G,1,8
222,Mysore Sp.Sandal Musk,75 G,1,5
223,Liril Deo Prfm A.S.Gel,7 M,1,8
224,Fresca Cool,100 G,2,5
225,Camay Classic-D.Pink,75 G,1,5
226,Camay Natural-White,75 G,1,5
227,Camay Classic-D.Pink,150 G,1,5
228,Ranga Jaba Glycerine,,1,13
229,Camay Milk Cream,75 G,2,5
230,Le Sancy 3-In-1 Pack,150 G,1,15
231,Dettol,150 G,1,6
232,Lux Int.White-Mild Clsr,150 G,1,5
233,Lux Int.Blue-Oily Skin,150 G,1,5
234,Lux Int.Peach-Dry Skin,150 G,1,5
235,Lux Int.White-Norm.Skin,150 G,1,5
236,Lux Int.(N/S),150 G,1,5
237,Camay Natural-White,150 G,1,5
238,Camay Classic-D.PinkDTOD,75 G,1,5
239,Camay Classic-D.PinkDTOD,150 G,1,5
240,Camay Natural-White-DTOD,75 G,1,5
241,Camay Natural-White-DTOD,150 G,1,5
242,Liril Lime,150 G,1,8
243,Pond's Face Wash,50 M,1,5
244,Godrej Shikakai,100 G,1,9
245,Ganga,150 G,2,5
246,Dettol Liq. With Pump,250 M,1,15
247,Dettol Liq. Without Pump,250 M,1,15
248,Neem,75 G,2,7
249,Lifebuoy Liq. Moneysaver,250 M,1,15
250,Margo,150 G,1,7
251,Hamam,125 G,2,7
252,Protex Balance,75 G,1,6
253,Protex Ultra,75 G,1,6
254,Protex Gentle,75 G,1,6
255,Palmolive E.C White+(P),150 G,1,5
256,Palmolive E.C Green+(P),150 G,1,5
257,Palmolive.E.C Pink+ (P),150 G,1,5
258,Margo + Check Bar On 2,75 G,1,7
259,Camay Milk Cream,125 G,2,5
260,Margo + Soap Box,100 G,1,7
261,Other Shikakai Soaps,,1,9
262,Other Neem Soaps,,2,7
263,Santoor(Tur&Sandal),75 G,2,5
264,Santoor(Tur&Sandal),150 G,2,5
265,Johnson's Baby+Comb,75 G,1,12
266,Cinthol Lime,125 G,2,8
267,Wipro Baby Soft Almond&,75 G,1,12
268,Classic Glycerine Soap,,1,13
269,Camay Milk Cream Rs.5,75 G,2,5
270,Camay Milk Cream Rs.8,150 G,2,5
271,Tuhina Glycerine Soap,75 G,1,13
272,Cinthol Lime Fresh,75 G,2,8
273,Park Avenue,150 G,1,15
274,Monty Glycerine Soap,,1,13
275,Hamam,75 G,2,7
276,Le Sancy Lavender,150 G,1,15
277,Protex White Gentle,150 G,1,6
278,Protex Blue Balance,150 G,1,6
279,Camay (N/S),75 G,1,5
280,Camay (N/S),150 G,1,5
281,Lifebuoy,100 G,3,14
282,Rexona Sandal,100 G,2,5
283,Mysore Carbolic,100 G,3,14
284,Mysore Lavender,150 G,1,5
285,Pond's Mois.& Cleansing,75 G,1,10
286,Santoor(Tur&Sandal),100 G,2,5
287,Breeze Rose,100 G,4,5
288,Liril Fresh,75 G,1,8
289,Cinthol Lime+50G Rs.8.50,125 G,2,8
290,Mysore Sandal,125 G,1,5
291,Ganga,75 G,2,5
292,Rexona (N/S),75 G,2,5
293,Cinthol Classic,75 G,1,8
294,Cinthol Int.(N/S),75 G,1,8
295,Rexona Coconut,100 G,2,5
296,Cinthol Spicy Fresh,75 G,1,8
297,Imperial Leather Orig.,75 G,1,15
298,Liril,50 G,1,8
299,Johnson & Johnson Liq.,100 M,1,15
300,Amie Tulasi&Neem Yellow,75 G,1,15
301,Amie Tulasi&Neem Green,75 G,1,15
302,Amie Tulasi&Neem White,75 G,1,15
303,Lakme Maximum Face Wash,50 G,1,5
304,Moti Gulab,75 G,1,5
305,Moti Gulab,150 G,1,5
306,Lifebuoy Gold,75 G,2,6
307,OK-Pink,75 G,3,14
308,Liril+1 Cake On 3,75 G,1,8
309,Dettol + 50 Ps Off,50 G,1,6
310,Lifebuoy,125 G,3,14
311,Jai (N/S),75 G,4,5
312,Dettol + Mug On 2,75 G,1,6
313,Dettol + 25 G,75 G,1,6
314,Nirmabath,75 G,3,14
315,Santoor Milk & Roses,75 G,2,5
316,Santoor Milk & Roses,125 G,2,5
317,Palmolive Naturals White,75 G,1,5
318,Palmolive Naturals Green,75 G,1,5
319,Dettol,50 G,1,6
320,Wipro Shikakai+Santoor,100 G,1,9
321,Palmolive E.C+Rs.1 Off,150 G,1,5
322,Spring,75 G,2,5
323,Spring,125 G,2,5
324,Lifebuoy Gold,125 G,2,6
325,Cinthol Lime Fresh,125 G,2,8
326,Dettol Liq. Soap+Pet Jar,250 M,1,15
327,Lux International Green,125 G,1,5
328,Rexona Coconut,75 G,2,5
329,Rexona Sandal,75 G,2,5
330,Kasthuri,75 G,2,15
331,Doodh Ganga,75 G,2,5
332,Lux International Pink,125 G,1,5
333,Rexona Coconut,125 G,2,5
334,Pears Face Wash,60 G,1,5
335,Johnson's Kids (N/S),75 G,1,12
336,Wipro Herbal,100 G,2,7
337,Cinthol Fresh 2Cake Rs14,75 G,2,8
338,Dettol + 25 G,75 G,1,6
339,Dettol+SoapCase On 2,75 G,1,6
340,Doodh Ganga +Rs.1 Off,75 G,2,5
341,Cinthol Int.2Cakes Rs.20,75 G,1,8
342,Cinthol Lime Fresh+Pen,75 G,2,8
343,Nirma Premium Green,75 G,1,5
344,Nirma Premium Pink,75 G,1,5
345,Nirma Premium White,75 G,1,5
346,Cinthol 2 Cake For Rs27,100 G,1,8
347,Imperial Leather Orig.,150 G,1,15
348,Imperial Leather White,75 G,1,15
349,Imperial Leather White,150 G,1,15
350,Premium Deo Fresh,150 G,1,15
351,Premium Sandal Rich,150 G,1,15
352,Hamam Herbal,100 G,2,7
353,Cinthol Ultimate,50 G,1,8
354,Cinthol Ultimate,100 G,1,8
355,Nirma Lime Fresh,75 G,1,8
356,Rexona Olive,75 G,2,5
357,Wipro Herbal,75 G,2,7
358,Jai Lime,75 G,4,8
359,Palmolive E.C+Soap Case,150 G,1,5
360,Palmolive E.C+HaloSacht.,75 G,1,5
361,Lux Beauty+ Lux Shampoo,100 G,2,5
362,Nirmabath +Bucket Offer,75 G,3,14
363,Vrinda Medimix,100 G,1,7
364,Santoor(Tur&Sandal)+Talc,150 G,2,5
365,Lifebuoy Gold+Bucket,75 G,2,6
366,Moti + Bucket Offer,75 G,1,5
367,Liril Fresh+Bucket Offer,75 G,1,8
368,Rexona +Bucket Offer,75 G,2,5
369,Lifebuoy Plus+Bucket,100 G,2,6
370,Palmolive Naturals White,125 G,1,5
371,Pond's Face Wash Sachet,,1,5
372,Cinthol Scent Fresh,75 G,2,8
373,Cinthol Scent Fresh,125 G,2,8
374,Ganga(New),75 G,2,5
375,Pears,125 G,1,13
376,Palmolive E.C+Rs.1 Off,75 G,1,5
377,Palmolive E.C+Plastic,150 G,1,5
378,Lifebuoy Plus,50 G,2,6
379,Godrej NO.1(N/S),75 G,2,5
380,Godrej NO.1(N/S),125 G,2,5
381,Jai Jasmine,75 G,4,5
382,Johnson's Baby+Rocky,75 G,1,12
383,Santoor(Sandal&Besan),100 G,2,5
384,Lux International White/,125 G,1,5
385,Lux International Green,75 G,1,5
386,Lux Int.Pink-Vtm E,75 G,1,5
387,Johnson's Kids Orange,75 G,1,12
388,Pears+20 G Pears Face,125 G,1,13
389,Santoor Chandan,125 G,2,5
390,Spring Neem & Lime,75 G,2,8
391,Spring Neem & Lime,125 G,2,8
392,Palmolive Naturals Yello,75 G,1,5
393,Medimix,20 G,1,7
394,Medimix,150 G,1,7
395,Jai Jasmine + 50ps Off,75 G,4,5
396,Lux International (P),75 G,1,5
397,Unbranded Soap,,2,15
398,Doy Green(Elephant),75 G,1,12
399,Lux Beauty+20 G Surf Exl,100 G,2,5
400,Hamam Herbal,150 G,2,7
401,Medimix,125 G,1,7
402,Lux International (N/S),125 G,1,5
403,Lakme PH Bal.Face Wash,100 G,1,5
404,Liril+Rs 2 Off,75 G,1,8
405,Johnson's Kids+1 CakeOn2,75 G,1,12
406,Johnson's Baby+Dish On 2,75 G,1,12
407,Palmolive E.C+24K Earng.,150 G,1,5
408,Mysore Sandal+3 ballpens,150 G,1,5
409,Chandrika+Soap Case on 2,75 G,2,7
410,Rexona Sandal+40G Rin,75 G,2,5
411,Lifebuoy +75ps Off,150 G,3,14
412,Palmolive Nat.+Rs 2 Off,125 G,1,5
413,Wipro Shikakai+Hair Care,100 G,1,9
414,Hamam Herbal+1 Mug On 12,75 G,2,7
415,Pond's Face Wash,100 M,1,5
416,Doy White(Duck),75 G,1,12
417,Camay International Chic,125 G,1,5
418,Ganga,125 G,2,5
419,Imperial Leather White(P,75 G,1,15
420,Godrej Shikakai (P),100 G,1,9
421,Jai Lime + 1 Mug On 12,75 G,4,8
422,Mysore Sandal+Pen on 2,75 G,1,5
423,Mysore Sandal+Pencil,125 G,1,5
424,Cinthol Lime Fresh+ 25 G,75 G,2,8
425,Cinthol Scent Fresh+25 G,75 G,2,8
426,Lifebuoy Plus+Rin Shakti,100 G,2,6
427,Johnson's Kids Apple,75 G,1,12
428,Johnson's KidsStrawberry,75 G,1,12
429,Johnson's Kids Mango,75 G,1,12
430,Rexona Sandal,125 G,2,5
431,Nivea Soap,100 G,1,5
432,Breeze Rose,150 G,4,5
433,Pears Face Wash,100 G,1,5
434,Fem Liquid Soap,,1,15
435,Breeze Herbal Beauty,100 G,4,5
436,Rexona Coconut,150 G,2,5
437,Cinthol Int. Cologne-D,75 G,1,8
438,Cinthol Int. Lime-D,75 G,1,8
439,Johnson's Baby,50 G,1,12
440,Johnson's Baby,150 G,1,12
441,Doy Mauve(Lion),75 G,1,12
442,Lux Beauty+20 G Surf Ex,150 G,2,5
443,Mysore Sandal+Mysore W.S,150 G,1,5
444,Imperial Leather (P),150 G,1,15
445,Cinthol Int. Spice-D,75 G,1,8
446,Dettol Fresh,75 G,1,6
447,Dettol Fragrance,75 G,1,6
448,Santoor(Sandal&Besan),150 G,2,5
449,Moti Gulab+Rs.10 off,150 G,1,5
450,Moti Sandal,150 G,1,5
451,Moti Sandal+Rs.10 off,150 G,1,5
452,Glory,80 G,1,15
453,Keya,100 G,1,5
454,Lux Beauty,15 G,2,5
455,Palmolive Naturals Green,125 G,1,5
456,Palmolive Naturals Yello,125 G,1,5
457,Rexona (N/S),125 G,2,5
458,Santoor(Tur&Sandal),50 G,2,5
459,Jai Lime,125 G,4,8
460,Mysore Sandal Gold With,125 G,1,5
461,Nima Lime,75 G,1,8
462,Imperial Leather,125 G,1,15
463,Boroplus,100 G,1,15
464,Nima Rose,100 G,1,5
465,Royal Saffron Sandal,100 G,1,15
466,Mysore Sandal,17 G,1,5
467,Unbranded Liquid Soap,,2,15
468,Mysore Sandal Baby(white,) 75 G,1,5
469,Other Face Wash,,2,5
470,Other Liquid Soap,,2,15
471,Pears Face Wash,20 G,1,5
472,Savlon,75 G,1,6
473,Johnson's Kids Star,75 G,1,12
474,Arnica Hair Soap,75 G,1,9
475,Aromatic,100 G,2,15
476,Premium Neem Soap,75 G,1,15
477,Glitz,80 G,1,15
478,Denim,75 G,1,15
479,Godrej NO.1 Sandal,75 G,2,5
480,Liril Rainfresh,75 G,1,8
481,Godrej Fair Glow,75 G,2,11
482,Doy Pink(Bear),75 G,1,12
483,Doy Care Cream Milk,100 G,1,12
484,Emami Gly.With Olive Oil,75 G,1,5
485,Emami Gly.Saffron,75 G,1,5
486,Emami Gly.Green Almond,75 G,1,5
487,Nima Sandal,100 G,1,5
488,Leaf Lime,75 G,1,7
489,Leaf With Neem Nector,75 G,1,7
490,Lux Int. Skin Care,75 G,1,10
491,Lux Int.Moisturising,125 G,1,5
492,Doy Patch Eye,75 G,1,12
493,Doy Care Perfumed,75 G,1,12
494,Silviniya Gold Kesar &,75 G,1,15
495,Silviniya Gold Kesar &,125 G,1,15
496,Silviniya Gold Green,75 G,1,15
497,Silviniya Gold Green,125 G,1,15
498,Silviniya Gold Cologne,75 G,1,15
499,Silviniya Gold Cologne,125 G,1,15
500,Park Avenue:White Musk,100 G,1,15
501,Mysore Jasmine,17 G,1,5
502,Denim,125 G,1,15
503,Godrej Fair Glow,125 G,2,11
504,Wipro Lime,50 G,2,8
505,Biotique Himalya Plum,150 G,1,15
506,Biotique Almond Soap,150 G,1,15
507,Godrej NO.1 Neem & Tulsi,75 G,2,5
508,Godrej NO.1 Coconut,75 G,2,5
509,Godrej NO.1 Coconut,125 G,2,5
510,Godrej NO.1 Natural,125 G,2,5
511,Himani Glycerine Plus,75 G,1,13
512,Himani Glycerine Plus,75 G,1,13
513,Himani Glycerine Plus,75 G,1,13
514,Himani Glycerine Plus,75 G,1,13
515,Palmolive Nat. Lemon,75 G,1,8
516,Palmolive Nat.with Milk,75 G,1,5
517,Fa Aqua Blue,75 G,1,8
518,Fa Carribean Lemon Green,75 G,1,8
519,Fa Exotic Garden Orange,75 G,1,8
520,Margo,50 G,1,7
521,Aramusk,125 G,1,15
523,Wipro Active,100 G,2,15
524,Limelo Beauty Bar,100 G,2,5
525,Camay Light,100 G,1,5
526,Johnson's Baby,100 G,1,12
527,Breeze Bahaar,75 G,4,5
528,Breeze Bahaar,150 G,4,5
529,Hamam Herbal,50 G,2,7
530,Jai Jasmine,100 G,4,5
531,Lal Gulab,,2,15
532,Leema,,2,15
533,Masti,,2,15
534,Nima Winner,150 G,1,6
535,Maxam,80 G,1,15
536,Sony,75 G,2,15
537,Taja/Taza,,2,15
538,Tulasi(Ayurveda),75 G,2,6
539,Brand Not Known,,2,15
540,Jai Lime,100 G,4,8
541,L G Apple Kids Cosmo,90 G,2,15
542,Godrej NO.1 Rose,75 G,2,5
543,Savlon Orange,125 G,1,6
544,Lux Int. Skin Care,125 G,1,10
545,Godrej Natural,125 G,1,5
546,Dettol Extra with moist.,75 G,1,6
547,Godrej Natural,75 G,1,5
548,Palmolive Nat.with Milk,100 G,1,5
549,Lux Beauty Aqua Blue,100 G,2,5
550,Nima Winner,75 G,1,6
551,Chik,75 G,2,6
552,Afghan Ottokhus,100 G,1,5
553,Luxus Impression,150 G,3,5
554,Godrej Nikhar,75 G,4,5
555,Godrej Nikhar,125 G,4,5
556,Keya,Other,1,5
557,Medimix,15 G,1,7
558,Johnson's Baby Blossom,75 G,1,12
559,Johnson's Baby Blossom,100 G,1,12
560,Godrej NO.1 Rose,125 G,2,5
561,Godrej All Care,75 G,2,6
562,Godrej All Care,125 G,2,6
563,Johnson's Baby Tulsi+,75 G,1,12
564,Godrej NO.1 Sandal,125 G,2,5
565,Godrej NO.1 Natural,75 G,2,5
566,Nima Herbal,100 G,1,7
567,Palmolive Nat.Soothing,100 G,1,5
568,Palmolive Nat.Relaxing,100 G,1,5
569,Margo(Gly.& Glycerine),75 G,1,13
570,Dove,50 G,1,10
571,Breeze 2 in 1 Hair&Body,100 G,4,9
572,Lux Hand Cleanser Liq,1 K,1,5
573,Fair And Lovely,75 G,1,11
574,Breeze Lime,100 G,4,8
575,Meera Tulsi,75 G,2,7
576,Lifebuoy Active Orange,100 G,3,6
577,Lifebuoy Active Red,100 G,3,6
578,Dettol,125 G,1,6
579,Nirma Rosee,100 G,4,5
580,Eta Sandal & Turmeric,100 G,2,5
581,Eta Coconut,100 G,2,15
582,Harmony,85 G,1,5
583,Eta International Lime,75 G,1,8
584,Lux Beauty Almond Oil,100 G,2,5
585,Lux Beauty Honey,100 G,2,5
586,Lux Beauty Milk Cream,100 G,2,5
587,Rexona Saffron & Sandal,100 G,2,5
588,Nirma Herbalina,100 G,4,7
589,Jo Rose,100 G,2,15
590,Ayur Tuslieem,75 G,2,15
591,Duru Glycerine,75 G,2,13
592,Pond's Face Wash,4 M,1,5
593,Doy Care Aloe Vera,75 G,1,12
594,Lux Beauty Almond Oil,150 G,2,5
595,Lux Beauty Honey,150 G,2,5
596,Lux Beauty Milk Cream,150 G,2,5
597,Lexus Gold,125 G,2,5
598,Lexus Impression,150 G,2,5
599,Lexus Caress,150 G,2,5
600,Gladys Lime Plus,75 G,2,8
601,Gladys Sandal,75 G,2,15
602,Dettol Junior Glycerine,75 G,1,12
603,Fa Aqua Blue,125 G,1,8
604,Fa Carribean Lemon Green,125 G,1,8
605,Fa Exotic Garden Orange,125 G,1,8
606,Chandrika Sandal,75 G,2,8
607,Lexus Beauty,150 G,2,5
608,Gladys Beauty,75 G,2,5
609,Gladys International,75 G,2,5
610,Gladys Floral,75 G,2,5
611,Gladys Gold,75 G,2,5
612,Gladys Rose,75 G,2,5
613,Lifebuoy Inter.Gold,100 G,2,6
614,Lifebuoy Inter.Plus,100 G,2,6
615,Lifebuoy Inter.Plus,150 G,2,6
616,Lifebuoy Inter.Gold,150 G,2,6
617,Rexona Orange Peel,100 G,2,5
618,Jo Rose,150 G,2,15
619,Mysore 3 in 1(Promo Pk),375 G,1,5
620,Lifebuoy Active Orange,50 G,3,6
621,Lifebuoy Active Red,50 G,3,6
622,Hamam Herbal(100x6),600 G,2,7
623,Borosoft,75 G,1,5
624,Jo Sandal&Turmeric,100 G,2,5
625,Borosoft,150 G,1,5
626,Lux Int.Sun Protection,75 G,1,10
627,Palmolive Nat.with Rose,75 G,1,5
628,Lux Int.Deep Cleansing,75 G,1,10
629,Lux Int.Act.Glycerine,75 G,1,13
630,Breeze Rose,75 G,4,5
631,Tulsi Neem,75 G,2,6
632,Emami Natural Fair,75 G,1,8
633,Palmolive liq. Family,250 M,1,5
634,Palmolive liq. Family,500 M,1,5
635,Palmolive liq. Sea,250 M,1,5
636,Palmolive liq. Sea,500 M,1,5
637,Fair & Lovely Face Wash,50 G,1,5
638,Cinthol Skin Fresh,75 G,2,8
639,Cinthol Skin Fresh,125 G,2,8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
